Title,Date,Publisher,Description,Metadata,Download
"(u'Allegheny County - Urban Tree Canopy',)","(u'2010',)","(u'Allegheny County',)","(u'Allegheny County Urban Tree Canopy. High resolution land cover dataset for Allegheny County, Pennsylvania.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCountyUrbanTreeCanopy2010.xml',)"
"(u'Allegheny County Imagery 2010',)","(u'2010',)","(u'Allegheny County',)","(u'Orthophotos of Allegheny County, Pennsylvania - An orthoimage is remotely sensed image data that has been positionally corrected for camera lens distortion, vertical displacement and variations in aircraft altitude and orientation. Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map. Aerial survey of Allegheny County,Pennsylvania. Orthophotos serve a variety of purposes, from interim maps to field references for earth science investigations and analysis. The digital orthophoto is useful as a layer of a geographic information system and as a tool for revision of digital line graphs and topographic maps.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCountyImagery2010.xml',)"
"(u'Allegheny County Imagery 2010 - Tile Index',)","(u'2010',)","(u'Allegheny County',)","(u'Tile Index - Orthophotos of Allegheny County, Pennsylvania - An orthoimage is remotely sensed image data that has been positionally corrected for camera lens distortion, vertical displacement and variations in aircraft altitude and orientation. Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map. Aerial survey of Allegheny County,Pennsylvania. Orthophotos serve a variety of purposes, from interim maps to field references for earth science investigations and analysis. The digital orthophoto is useful as a layer of a geographic information system and as a tool for revision of digital line graphs and topographic maps.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCountyImagery2010_TileIndex.xml',)"
"(u'Allegheny County Imagery 2013',)","(u'2013',)","(u'Allegheny County',)","(u'Orthophotos of Allegheny County, Pennsylvania - An orthoimage is remotely sensed image data that has been positionally corrected for camera lens distortion, vertical displacement and variations in aircraft altitude and orientation. Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map. Aerial survey of Allegheny County,Pennsylvania. Orthophotos serve a variety of purposes, from interim maps to field references for earth science investigations and analysis. The digital orthophoto is useful as a layer of a geographic information system and as a tool for revision of digital line graphs and topographic maps.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCountyImagery2013.xml',)"
"(u'Allegheny County Imagery 2013 - Tile Index',)","(u'2013',)","(u'Allegheny County',)","(u'Orthophotos of Allegheny County, Pennsylvania - An orthoimage is remotely sensed image data that has been positionally corrected for camera lens distortion, vertical displacement and variations in aircraft altitude and orientation. Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map. Aerial survey of Allegheny County,Pennsylvania. Orthophotos serve a variety of purposes, from interim maps to field references for earth science investigations and analysis. The digital orthophoto is useful as a layer of a geographic information system and as a tool for revision of digital line graphs and topographic maps.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCountyImagery2013_ TileIndex.xml',)"
"(u'Allegheny County Imagery 2015',)","(u'2015',)","(u'Allegheny County',)","(u'Orthophotos of Allegheny County, Pennsylvania - An orthoimage is remotely sensed image data that has been positionally corrected for camera lens distortion, vertical displacement and variations in aircraft altitude and orientation. Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map. Aerial survey of Allegheny County,Pennsylvania. Orthophotos serve a variety of purposes, from interim maps to field references for earth science investigations and analysis. The digital orthophoto is useful as a layer of a geographic information system and as a tool for revision of digital line graphs and topographic maps.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCountyImagery2015.xml',)"
"(u'Allegheny County Imagery 2015  - Tile Index',)","(u'2015',)","(u'Allegheny County',)","(u'Tile Index - Orthophotos of Allegheny County, Pennsylvania - An orthoimage is remotely sensed image data that has been positionally corrected for camera lens distortion, vertical displacement and variations in aircraft altitude and orientation. Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map. Aerial survey of Allegheny County,Pennsylvania. Orthophotos serve a variety of purposes, from interim maps to field references for earth science investigations and analysis. The digital orthophoto is useful as a layer of a geographic information system and as a tool for revision of digital line graphs and topographic maps.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCountyImagery2015.xml',)"
"(u'Allegheny County Imagery 2017 - 3 inch pixels',)","(u'2017',)","(u'Allegheny County',)","(u'Orthophotos of Allegheny County, Pennsylvania - An orthoimage is remotely sensed image data that has been positionally corrected for camera lens distortion, vertical displacement and variations in aircraft altitude and orientation. Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map. Aerial survey of Allegheny County,Pennsylvania. Orthophotos serve a variety of purposes, from interim maps to field references for earth science investigations and analysis. The digital orthophoto is useful as a layer of a geographic information system and as a tool for revision of digital line graphs and topographic maps.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCountyImagery2017_3inch.xml',)"
"(u'Allegheny County Imagery 2017 - 9 inch pixels',)","(u'2017',)","(u'Allegheny County',)","(u'Orthophotos of Allegheny County, Pennsylvania - An orthoimage is remotely sensed image data that has been positionally corrected for camera lens distortion, vertical displacement and variations in aircraft altitude and orientation. Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map. Aerial survey of Allegheny County,Pennsylvania. Orthophotos serve a variety of purposes, from interim maps to field references for earth science investigations and analysis. The digital orthophoto is useful as a layer of a geographic information system and as a tool for revision of digital line graphs and topographic maps.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCountyImagery2017_9inch.xml',)"
"(u'Allegheny County Imagery 2017 3 inch - Tile Index',)","(u'2017',)","(u'Allegheny County',)","(u'Tile Index - Orthophotos of Allegheny County, Pennsylvania - An orthoimage is remotely sensed image data that has been positionally corrected for camera lens distortion, vertical displacement and variations in aircraft altitude and orientation. Orthoimagery combines the image characteristics of a photograph with the geometric qualities of a map. Aerial survey of Allegheny County,Pennsylvania. Orthophotos serve a variety of purposes, from interim maps to field references for earth science investigations and analysis. The digital orthophoto is useful as a layer of a geographic information system and as a tool for revision of digital line graphs and topographic maps.',)","(u'FullMetadataDisplay.aspx?file=AlleghenyCountyImagery2017_3inch.xml',)"
